Id;Text;01.10.31934
Empty;
#Barricade.NameId;Barricade
#tinkered.Tooltip.Name.Loca;Bricolé
#Animal_Bear.NameId;Ours
#Animal_Spider.NameId;Araignées
#Dwarf_Axewielder.NameId;Porteurs de haches nains
#Dwarf_Crossbow.NameId;Sentinelles
#Elf_Ranger.NameId;Rôdeurs elfes
#Human_Hunter.NameId;Chasseurs
#Human_Keeper.NameId;Gardiens
#Orc_Pikeman.NameId;Piquiers orcs
#Troll_Cyclops.NameId;Cyclope troll
#Cavalry.Tooltip.Name.Loca;Cavalerie
#Dwarf.Tooltip.Name.Loca;Nain
#Elf.Tooltip.Name.Loca;Elfe
#FirstStrike.Tooltip.Name.Loca;Premier coup
#Human.Tooltip.Name.Loca;Humain
#Hunter.Tooltip.Name.Loca;Chasseur
#Orc.Tooltip.Name.Loca;Orc
#PassiveDestructiblePromotion.Tooltip.Name.Loca;Destructible
#Regeneration.Tooltip.Name.Loca;Régénération
#Undead.Tooltip.Name.Loca;Mort-vivant
#vsCavalry.Tooltip.Name.Loca;Anti-cavalerie
#Wild.Tooltip.Name.Loca;Bête
#CavalryTag.DisplayName;Cavalerie
#DestructibleTag.DisplayName;Destructible
#GateTag.DisplayName;Porte
#ElfTag.DisplayName;Elfe
#MeleeTag.DisplayName;Mêlée
#OrcTag.DisplayName;Orc
#RangedTag.DisplayName;À distance
#UndeadTag.DisplayName;Mort-vivant
#UnitTag.DisplayName;Unité
#WallTag.DisplayName;Mur
#Wild Tag.DisplayName;Sauvage
Tooltip.FluffText;[fluff][italic]"{loca}"[/][/]
SkillTooltip.SkillTooltip.FocusCost;[mana]{ActiveSkillCosts.FocusCosts} [mFocus][/]
LoadingScreenCanvas.LocalizationId;Appuyez sur n'importe quelle touche pour continuer
LoadingScreenCanvas.ControllerLocalizationId;Appuyez sur n'importe quel bouton pour continuer
UIPhasePanel.PlayerTurnLabel;Votre tour
UIPhasePanel.AITurnLabel;Tour de l'ennemi
EndTurnButton.EndTurnLoca;Fin du tour
EndTurnButton.SkipTurnLoca;Passer le tour
EndTurnButton.NextUnitLoca;Unité suivante
SkillTooltip.SkillTooltip.ConsumesMove;Consomme une action de mouvement
SkillTooltip.SkillTooltip.RequiresMove;Nécessite {amount} action{postfix} de mouvement
SkillTooltip.SkillTooltip.RequiresAction;[actioncost]{amount}[/] [mAction]
SkillTooltip.SkillTooltip.Cooldown;[cooldown]{Cooldown.Duration}[/] [mCooldown]
BackToGame.Localization;Retour au jeu
RestartMissionButton.Localization;Recommencer la bataille
OptionsButton.Localization;Paramètres
ExitButton.States.Array.data[1].Tooltip;Retour au menu principal
IngameMenu.BackToGame;RETOUR AU JEU
IngameMenu.RestartMissionButton.Localization;Recommencer la bataille
IngameMenu.OptionsButton;PARAMÈTRES
IngameMenu.Exit.Tooltip;Retour au menu
IngameMenu.Exit;Retour au menu
ExitGameButton.Localization;Quitter le jeu
CampaignButton.Localization;Lancer la campagne
MainMenu.ExitGameButton;Quitter le jeu
OptionsButton.Text;Paramètres
MainMenu.CampaignButton;Lancer la campagne
GraphicsSettingsButton.Localization;Graphismes
OptionsPanel.Localization;Paramètres
ResolutionSetting.Localization;Résolution
ScreenMode.Localization;Mode d'écran
GraphicsSettings.ResolutionSetting.Localization;Résolution d'affichage
GraphicsSettings.ScreenModeSetting.Localization;Mode d'écran
#DIYBombSkill.Tooltip.Name.Loca;Bombe artisanale
#DIYBombSkill.Tooltip.Description.Loca;Lancez votre bombe artisanale. Et croisez les doigts.
DIYBombSkill.Tooltip.Name.Loca;Bombe artisanale
DIYBombSkill.Tooltip.Description.Loca;Lancez votre bombe artisanale et croisez les doigts.
#DefaultStyle.Loca;{Value}
#AmbushStyle.Loca;Embuscade !
#AttackofOpportunity Floatingtext.Loca;Attaque d'opportunité
#BreakChargeStyle.Loca;Brise la charge
#ChargeStyle.Loca;Charge
#DamageStyle.Loca;[malus]-{Value}[/]
#DefensiveFireStyle.Loca;Tir défensif
#DrinkHealthPotionStyle.Loca;Vos blessures disparaissent
#DrinkManaPotionStyle.Loca;La puissance coule dans vos veines
#Guarding Floatingtext.Loca;Garde
#HealStyle.Loca;[bonus]+{Value}[/]
#InterceptionStyle.Loca;Interception
#MoralChangeStyle.Loca;{Value}
#ReloadStyle.Loca;Rechargé
