Id;Text;01.10.31934
Empty;
#Barricade.NameId;Barricade
#tinkered.Tooltip.Name.Loca;Tinkered
#Animal_Bear.NameId;Bear
#Animal_Spider.NameId;Spiders
#Dwarf_Axewielder.NameId;Axewielders
#Dwarf_Crossbow.NameId;Sentries
#Elf_Ranger.NameId;Elven Rangers
#Human_Hunter.NameId;Hunters
#Human_Keeper.NameId;Keepers
#Orc_Pikeman.NameId;Orc Pikemen
#Troll_Cyclops.NameId;Troll Cyclops
#Cavalry.Tooltip.Name.Loca;Cavalry
#Dwarf.Tooltip.Name.Loca;Dwarf
#Elf.Tooltip.Name.Loca;Elf
#FirstStrike.Tooltip.Name.Loca;First Strike
#Human.Tooltip.Name.Loca;Human
#Hunter.Tooltip.Name.Loca;Hunter
#Orc.Tooltip.Name.Loca;Orc
#PassiveDestructiblePromotion.Tooltip.Name.Loca;Destructible
#Regeneration.Tooltip.Name.Loca;Regeneration
#Undead.Tooltip.Name.Loca;Undead
#vsCavalry.Tooltip.Name.Loca;Anti Cavalry
#Wild.Tooltip.Name.Loca;Beast
#CavalryTag.DisplayName;Cavalry
#DestructibleTag.DisplayName;Destructible
#GateTag.DisplayName;Gate
#ElfTag.DisplayName;Elf
#MeleeTag.DisplayName;Melee
#OrcTag.DisplayName;Orc
#RangedTag.DisplayName;Ranged
#UndeadTag.DisplayName;Undead
#UnitTag.DisplayName;Unit
#WallTag.DisplayName;Wall
#Wild Tag.DisplayName;Wild
Tooltip.FluffText;[fluff][italic]"{loca}"[/][/]
SkillTooltip.SkillTooltip.FocusCost;[mana]{ActiveSkillCosts.FocusCosts} [mFocus][/]
LoadingScreenCanvas.LocalizationId;Press any key to continue
LoadingScreenCanvas.ControllerLocalizationId;Press any button to continue
UIPhasePanel.PlayerTurnLabel;Your turn
UIPhasePanel.AITurnLabel;Enemy turn
EndTurnButton.EndTurnLoca;End Turn
EndTurnButton.SkipTurnLoca;Skip Turn
EndTurnButton.NextUnitLoca;Next Unit
SkillTooltip.SkillTooltip.ConsumesMove;Consumes Movement Action
SkillTooltip.SkillTooltip.RequiresMove;Requires {amount} Movement Action{postfix}
SkillTooltip.SkillTooltip.RequiresAction;[actioncost]{amount}[/] [mAction]
SkillTooltip.SkillTooltip.Cooldown;[cooldown]{Cooldown.Duration}[/] [mCooldown]
BackToGame.Localization;Back To Game
RestartMissionButton.Localization;Restart Battle
OptionsButton.Localization;Settings
ExitButton.States.Array.data[1].Tooltip;Back To Main Menu
IngameMenu.BackToGame;BACK TO GAME
IngameMenu.RestartMissionButton.Localization;Restart Battle
IngameMenu.OptionsButton;SETTINGS
IngameMenu.Exit.Tooltip;Back To Menu
IngameMenu.Exit;Back To Menu
ExitGameButton.Localization;Exit Game
CampaignButton.Localization;Start Campaign
MainMenu.ExitGameButton;Exit Game
OptionsButton.Text;Settings
MainMenu.CampaignButton;Start Campaign
GraphicsSettingsButton.Localization;Graphics
OptionsPanel.Localization;Settings
ResolutionSetting.Localization;Resolution
ScreenMode.Localization;Screen Mode
GraphicsSettings.ResolutionSetting.Localization;Display Resolution
GraphicsSettings.ScreenModeSetting.Localization;Screen Mode
#DIYBombSkill.Tooltip.Name.Loca;DIY Bomb
#DIYBombSkill.Tooltip.Description.Loca;Throw your selfmade bomb. And hope for the best.
DIYBombSkill.Tooltip.Name.Loca;DIY Bomb
DIYBombSkill.Tooltip.Description.Loca;Throw your selfmade bomb and hope for the best.
#DefaultStyle.Loca;{Value}
#AmbushStyle.Loca;Ambush!
#AttackofOpportunity Floatingtext.Loca;Attack of Opportunity
#BreakChargeStyle.Loca;Breaks Charge
#ChargeStyle.Loca;Charge
#DamageStyle.Loca;[malus]-{Value}[/]
#DefensiveFireStyle.Loca;Defensive Fire
#DrinkHealthPotionStyle.Loca;Your wounds vanish
#DrinkManaPotionStyle.Loca;Power pulses through your veins
#Guarding Floatingtext.Loca;Guard
#HealStyle.Loca;[bonus]+{Value}[/]
#InterceptionStyle.Loca;Interception
#MoralChangeStyle.Loca;{Value}
#ReloadStyle.Loca;Reloaded
#RestingStyle.Loca;Resting
#RestoredStyle.Loca;Restored
#SignedColoredStyle.Loca;{Value:+-c}
#StatusEffectStyle.Loca;{Value}
Dwarf.Loca;Dwarf
Elf.Loca;Elf
Human.Loca;Human
